Fecha_Hora,pm25,calidad_pm25,ozono,calidad_ozono,dviento_ssr,calidad_dviento_ssr,pliquida_ssr,calidad_pliquida_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr,pm25_ref
2017-01-01 00:00:00,40.0,1.0,1.51306,1.0,251.217,1.0,0.0,1.0,16.421,1.0,0.278822,1.0,34.54952273199628
2017-01-01 01:00:00,95.0,1.0,1.47069,1.0,271.324,1.0,0.0,1.0,16.1047,1.0,0.216477,1.0,82.14484375427219
2017-01-01 02:00:00,36.0,1.0,1.23111,1.0,265.11,1.0,0.0,1.0,16.1674,1.0,0.138907,1.0,31.121826279111467
2017-01-01 03:00:00,33.0,1.0,1.62431,1.0,284.423,1.0,0.0,1.0,15.8793,1.0,0.303047,1.0,28.556777371004213
2017-01-01 04:00:00,37.0,1.0,1.11708,1.0,235.303,1.0,0.0,1.0,15.4883,1.0,0.206162,1.0,32.06157796279939
2017-01-01 05:00:00,35.0,1.0,1.11472,1.0,260.419,1.0,0.0,1.0,15.3396,1.0,0.262162,1.0,30.34415232351021
2017-01-01 06:00:00,47.0,1.0,0.888194,1.0,229.186,1.0,0.0,1.0,15.8367,1.0,0.267422,1.0,40.67776932383602
2017-01-01 07:00:00,62.0,1.0,0.9325,1.0,251.592,1.0,0.0,1.0,15.6181,1.0,0.211044,1.0,53.70065725020071
2017-01-01 08:00:00,60.0,1.0,7.06306,1.0,96.1355,1.0,0.0,1.0,18.9758,1.0,0.189247,1.0,51.371052370384064
2017-01-01 09:00:00,61.0,1.0,24.7796,1.0,118.021,1.0,0.0,1.0,20.6996,1.0,0.409694,1.0,51.92085769970765
2017-01-01 10:00:00,63.0,1.0,48.6244,1.0,115.737,1.0,0.0,1.0,22.2872,1.0,0.639718,1.0,53.335024360735076
2017-01-01 11:00:00,34.0,1.0,52.2646,1.0,1.24875,1.0,0.0,1.0,23.3463,1.0,0.348552,1.0,28.681163542252836
2017-01-01 12:00:00,17.0,1.0,45.6275,1.0,345.243,1.0,0.0,1.0,24.94,1.0,0.475947,1.0,14.263911687699789
2017-01-01 13:00:00,21.0,1.0,50.8506,1.0,129.465,1.0,0.0,1.0,26.3919,1.0,0.88818,1.0,17.534720250118998
2017-01-01 14:00:00,12.0,1.0,46.6063,1.0,176.386,1.0,0.0,1.0,25.7079,1.0,1.82563,1.0,10.042772682629666
2017-01-01 15:00:00,25.0,1.0,40.9668,1.0,191.31,1.0,0.0,1.0,26.2568,1.0,1.06657,1.0,20.884086147648645
2017-01-01 16:00:00,,1.0,30.581,1.0,185.858,1.0,0.0,1.0,25.0654,1.0,0.428371,1.0,
2017-01-01 17:00:00,,151.0,27.96,1.0,197.748,1.0,0.0,1.0,24.3721,1.0,0.267786,1.0,
2017-01-01 18:00:00,,1.0,17.0063,1.0,219.917,1.0,0.0,1.0,21.2221,1.0,0.564032,1.0,
2017-01-01 19:00:00,23.0,1.0,11.8347,1.0,288.439,1.0,0.0,1.0,20.5922,1.0,0.482921,1.0,19.583874608552886
2017-01-01 20:00:00,10.0,1.0,8.84833,1.0,301.101,1.0,0.0,1.0,20.13,1.0,0.386546,1.0,8.528147032722051
2017-01-01 21:00:00,9.0,1.0,7.17542,1.0,334.226,1.0,0.0,1.0,19.5557,1.0,0.43309,1.0,7.690391630846448
2017-01-01 22:00:00,17.0,1.0,3.79903,1.0,205.41,1.0,0.0,1.0,19.2711,1.0,0.212195,1.0,14.540433077457235
2017-01-01 23:00:00,15.0,1.0,6.88986,1.0,322.532,1.0,0.0,1.0,18.7668,1.0,0.235039,1.0,12.85195796417022
2017-01-02 00:00:00,12.0,1.0,6.79167,1.0,337.93,1.0,0.0,1.0,18.8144,1.0,0.429478,1.0,10.279890130810704
2017-01-02 01:00:00,13.0,1.0,6.46319,1.0,268.588,1.0,0.0,1.0,18.2239,1.0,0.222473,1.0,11.15911703238945
2017-01-02 02:00:00,16.0,1.0,4.71806,1.0,216.194,1.0,0.0,1.0,17.9596,1.0,0.22456,1.0,13.746767330279583
2017-01-02 03:00:00,15.0,1.0,4.90319,1.0,260.475,1.0,0.0,1.0,17.2521,1.0,0.36355,1.0,12.918992123800365
2017-01-02 04:00:00,11.0,1.0,5.25486,1.0,251.308,1.0,0.0,1.0,16.8451,1.0,0.298375,1.0,9.487223949412925
2017-01-02 05:00:00,10.0,1.0,4.36694,1.0,274.24,1.0,0.0,1.0,16.4328,1.0,0.414921,1.0,8.637028724622883
2017-01-02 06:00:00,17.0,1.0,1.69417,1.0,259.714,1.0,0.0,1.0,16.5533,1.0,0.36988,1.0,14.676841565099295
2017-01-02 07:00:00,22.0,1.0,1.55819,1.0,223.141,1.0,0.0,1.0,16.6413,1.0,0.157532,1.0,18.987791958781344
2017-01-02 08:00:00,29.0,1.0,4.42917,1.0,137.271,1.0,0.0,1.0,18.3183,1.0,0.34399,1.0,24.885352503495227
2017-01-02 09:00:00,37.0,1.0,4.49167,1.0,148.122,1.0,0.0,1.0,18.7867,1.0,0.467038,1.0,31.69933536448099
2017-01-02 10:00:00,27.0,1.0,16.57,1.0,85.6821,1.0,0.0,1.0,21.8581,1.0,0.235324,1.0,22.8911151820684
2017-01-02 11:00:00,14.0,1.0,29.0438,1.0,147.225,1.0,0.0,1.0,22.9532,1.0,0.683156,1.0,11.82556941789016
2017-01-02 12:00:00,16.0,1.0,37.1118,1.0,163.843,1.0,0.0,1.0,25.2142,1.0,0.358306,1.0,13.412520465963269
2017-01-02 13:00:00,7.0,1.0,43.2911,1.0,131.766,1.0,0.0,1.0,26.8514,1.0,0.776226,1.0,5.835954342978755
2017-01-02 14:00:00,8.0,1.0,45.76,1.0,55.6843,1.0,0.0,1.0,27.2657,1.0,0.656399,1.0,6.660464048334954
2017-01-02 15:00:00,7.0,1.0,26.1096,1.0,94.4686,1.0,0.0,1.0,28.3729,1.0,1.26101,1.0,5.806505818396237
2017-01-02 16:00:00,5.0,1.0,26.0963,1.0,68.6218,1.0,0.0,1.0,28.8146,1.0,0.692098,1.0,4.141437376693697
2017-01-02 17:00:00,4.0,1.0,24.9797,1.0,57.0573,1.0,0.0,1.0,27.9501,1.0,0.629028,1.0,3.3226624126085955
2017-01-02 18:00:00,6.0,1.0,19.5831,1.0,0.619837,1.0,0.0,1.0,24.0986,1.0,1.00581,1.0,5.048572060739846
2017-01-02 19:00:00,8.0,1.0,10.0474,1.0,285.439,1.0,0.0,1.0,21.7132,1.0,0.73268,1.0,6.785885690060268
2017-01-02 20:00:00,9.0,1.0,10.3742,1.0,256.62,1.0,0.0,1.0,21.0642,1.0,0.849239,1.0,7.650961325391672
2017-01-02 21:00:00,19.0,1.0,8.02556,1.0,325.061,1.0,0.0,1.0,20.3015,1.0,0.142959,1.0,16.19400966543969
2017-01-02 22:00:00,11.0,1.0,7.11792,1.0,332.23,1.0,0.0,1.0,19.8036,1.0,0.744488,1.0,9.39141371852879
2017-01-02 23:00:00,8.0,1.0,4.02222,1.0,279.049,1.0,0.0,1.0,18.6857,1.0,0.245314,1.0,6.856282385621014
2017-01-03 00:00:00,,1.0,1.57625,1.0,242.152,1.0,0.0,1.0,18.334,1.0,0.301934,1.0,
