Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-08-01 00:00:00,38,30.0,1.0,65.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.40917,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,279.189,1.0,0.400694,151.0,620.591,1.0,0.0,1.0,0.0,1.0,16.9485,1.0,0.143403,1.0
2017-08-01 01:00:00,38,29.0,1.0,48.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.36514,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,254.508,1.0,0.400139,151.0,620.239,1.0,0.0,151.0,-0.0103333,151.0,16.7249,1.0,0.0687616,1.0
2017-08-01 02:00:00,38,25.0,1.0,61.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.54625,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,229.331,1.0,0.400694,151.0,619.866,1.0,0.0,151.0,-0.0413333,151.0,16.4176,1.0,0.197441,1.0
2017-08-01 03:00:00,38,21.0,1.0,42.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.49903,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,282.864,1.0,0.400556,151.0,619.697,1.0,0.0,151.0,-0.0051666,151.0,16.4447,1.0,0.143844,1.0
2017-08-01 04:00:00,38,21.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.02535,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,213.572,1.0,0.400418,151.0,619.684,1.0,0.0,151.0,-0.005181,151.0,15.967,1.0,0.191691,1.0
2017-08-01 05:00:00,38,26.0,1.0,45.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.32097,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,272.163,1.0,0.400694,151.0,619.805,1.0,0.0,151.0,0.0,1.0,15.8419,1.0,0.179704,1.0
2017-08-01 06:00:00,38,21.0,1.0,38.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.94097,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,241.315,1.0,0.400417,151.0,620.114,1.0,0.0,151.0,0.17025,1.0,15.4181,1.0,0.161972,1.0
2017-08-01 07:00:00,38,28.0,1.0,65.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.69722,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,187.31,1.0,0.400139,151.0,620.343,1.0,0.0,151.0,44.1165,1.0,16.2479,1.0,0.117841,1.0
2017-08-01 08:00:00,38,38.0,1.0,52.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.99083,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,118.889,1.0,0.400278,151.0,620.746,1.0,0.0,151.0,169.204,1.0,18.0,1.0,0.146433,1.0
2017-08-01 09:00:00,38,22.0,1.0,50.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.0372,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,54.432,1.0,0.400833,151.0,620.821,1.0,0.0,151.0,282.555,1.0,19.5194,1.0,0.046824,1.0
2017-08-01 10:00:00,38,23.0,1.0,37.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,27.6894,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.925,1.0,0.400694,151.0,620.837,1.0,0.0,151.0,356.868,1.0,20.4042,1.0,0.116685,1.0
2017-08-01 11:00:00,38,18.0,1.0,57.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,36.1946,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,44.4777,1.0,0.400556,151.0,620.566,1.0,0.0,151.0,482.88,1.0,21.9085,1.0,0.239613,1.0
2017-08-01 12:00:00,38,30.0,1.0,53.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,47.7018,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,35.8708,1.0,0.400417,151.0,620.023,1.0,0.0,151.0,563.739,1.0,22.9356,1.0,0.298708,1.0
2017-08-01 13:00:00,38,15.0,1.0,59.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,55.2622,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,99.5235,1.0,0.400694,151.0,619.327,1.0,0.0,151.0,443.207,1.0,23.5744,1.0,0.269197,1.0
2017-08-01 14:00:00,38,12.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,51.7757,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,241.688,1.0,0.400556,151.0,618.669,1.0,0.0,151.0,559.322,1.0,24.5671,1.0,0.134074,1.0
2017-08-01 15:00:00,38,23.0,1.0,48.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,56.4761,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,179.57,1.0,0.400278,151.0,618.096,1.0,0.0,151.0,569.032,1.0,24.0221,1.0,1.2616,1.0
2017-08-01 16:00:00,38,23.0,1.0,54.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,51.9109,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,205.868,1.0,0.400695,151.0,617.739,1.0,0.0,151.0,162.959,1.0,23.3983,1.0,1.01508,1.0
